Bst_ID,Busstop_Name,Ward_Number,Longitude,Latitude
Blr_Bst000919,BIAL Bus Stop,0,77.70838626,13.19906167
Blr_Bst000879,Infosys (Parking Lot),0,77.66286461,12.850095
Blr_Bst000811,Church Cross (Bagalur RD),0,77.65478296,13.08858333
Blr_Bst000809,Tavakal Mosque,0,77.66489962,13.10591666
Blr_Bst000808,Chakkalatti,0,77.66823295,13.12228333
Blr_Bst000807,Bagalur,0,77.66798295,13.13458333
Blr_Bst000806,Hosur Bande,0,77.66086629,13.10611666
Blr_Bst000781,P.E.S. College,0,77.66256628,12.85855
Blr_Bst000780,Konappana Agarahara,0,77.66536628,12.855
Blr_Bst000779,Electronic City (Hosur Rd),0,77.67139961,12.84746667
Blr_Bst000778,State Bank  (Electronic City),0,77.66526628,12.84559444
Blr_Bst000764,Ambedkar Nagar (Sarjapura Rd),0,77.71304958,12.89921667
Blr_Bst000763,Kodathi Gate,0,77.72046624,12.8966
Blr_Bst000762,Shoole Kunte,0,77.72843289,12.89243333
Blr_Bst000761,Choudenahall Gate,0,77.75673287,12.88163611
Blr_Bst000760,Dommasandra Circle,0,77.75366621,12.87961667
Blr_Bst000759,Chambenahalli Gate,0,77.76158287,12.87933333
Blr_Bst000758,Yamare Village,0,77.76644953,12.87225
Blr_Bst000757,Sompura Gate,0,77.7722662,12.86186667
Blr_Bst000755,Sarjapura,0,77.78571619,12.86128333
Blr_Bst000754,Sonkad Gate,0,77.7707662,12.86348333
Blr_Bst000753,Muttanalur Cross,0,77.73908289,12.88728333
Blr_Bst000752,Ambedkar Nagar,0,77.71299958,12.89908333
Blr_Bst000730,Bannerghatta Circle,0,77.58144967,12.81386667
Blr_Bst000718,Tata Silk Farm,0,77.52343303,12.8537
Blr_Bst000717,Agara Gate (Kanakapura RD),0,77.52203304,12.84886667
Blr_Bst000716,Kuppareddykere,0,77.51768304,12.84233333
Blr_Bst000715,Art of Living Ashrama,0,77.51593304,12.83681667
Blr_Bst000714,Kaggalipura,0,77.50896638,12.80258333
Blr_Bst000713,Salhunashe,0,77.51158304,12.81098333
Blr_Bst000712,Udaya palya,0,77.51354971,12.82021667
Blr_Bst000711,Saladoddi,0,77.51294971,12.83023333
Blr_Bst000710,IB College,0,77.51436638,12.83506667
Blr_Bst000658,Chikkabidarakallu,0,77.4876664,13.05215
Blr_Bst000657,Anchepalya,0,77.4798164,13.05496667
Blr_Bst000656,T C I (Tumkur RD),0,77.46608307,13.05873333
Blr_Bst000655,Adakamaranahalli,0,77.44529975,13.07006667
Blr_Bst000654,Dasanapura,0,77.43611643,13.07513333
Blr_Bst000653,Devayanapalya,0,77.42761643,13.07858333
Blr_Bst000652,Arsinakunte,0,77.42474976,13.07971667
Blr_Bst000651,T B stop (Nelamangala RD),0,77.4013831,13.0972
Blr_Bst000650,Colony (Nelamangala),0,77.40541644,13.09425
Blr_Bst000501,Chikka Banavara,0,77.50024972,13.08185
Blr_Bst000500,Sante Maidan (Tumkur Road),0,77.50243305,13.08043333
Blr_Bst000488,Jindal Factory,0,77.4838164,13.0534
Blr_Bst000487,Madavara,0,77.47401641,13.05663333
Blr_Bst000486,Vishwashanti Ashrama,0,77.41893309,13.08281667
Blr_Bst000485,Nelamangala,0,77.39453311,13.09805
Blr_Bst000484,Janapriya  Apartment (Nelamang,0,77.40789977,13.09151667
Blr_Bst000483,Ashrama (Tumkur RD),0,77.41666643,13.08443333
Blr_Bst000482,Makali,0,77.45323308,13.06588333
Blr_Bst000481,Madanayakanahalli,0,77.46101641,13.06138333
Blr_Bst000480,Jindal Factory (Tumkur RD),0,77.48448306,13.05351667
Blr_Bst000479,Morrison,0,77.49223306,13.05071667
Blr_Bst000438,Electronic City,0,77.67183294,12.84691667
Blr_Bst000406,Honnena halli,0,77.56594968,13.16288333
Blr_Bst000405,Sriramapura cross,0,77.56323302,13.1916
Blr_Bst000404,Suradevanapura Cross,0,77.55889969,13.20451667
Blr_Bst000403,Marasandra Cross,0,77.55728302,13.20778333
Blr_Bst000402,Mazar Hosahalli Cross,0,77.55056636,13.23411667
Blr_Bst000401,Doddaballapura Railway Station,0,77.55171636,13.27808333
Blr_Bst000400,Doddaballapura Govt hospital,0,77.54423303,13.2925
Blr_Bst000399,Doddaballapura Bus Station (Ol,0,77.54221637,13.2933
Blr_Bst000398,Doddaballapura Arali Katte Cir,0,77.5435997,13.29368333
Blr_Bst000397,Doddaballapura Industrial Area,0,77.55161636,13.28005
Blr_Bst000396,Navodaya/Bombay Ryan Factory,0,77.55213302,13.26931667
Blr_Bst000395,Bashettyhalli Bank,0,77.55206636,13.27021667
Blr_Bst000394,Yellapura/Mazar hosahalli Cros,0,77.55278302,13.25766667
Blr_Bst000393,Rajan kunte,0,77.56386636,13.18181667
Blr_Bst000392,Singanayakanahalli,0,77.56721635,13.1573
Blr_Bst000391,Avalahalli (Doddaballapur Rd),0,77.56961635,13.1443
Blr_Bst000294,Veerasandra,0,77.67708293,12.83995
Blr_Bst000293,Anekal Chandapura,0,77.70414958,12.80273333
Blr_Bst000292,Anekal Chandapura Circle,0,77.70278291,12.80135
Blr_Bst000291,Ramakrishnapura Gate,0,77.70184958,12.78523333
Blr_Bst000290,Anekal Cross,0,77.69111626,12.70531667
Blr_Bst000289,Anekal,0,77.69113292,12.70531667
Blr_Bst000288,Vandanahalli,0,77.70344958,12.7246
Blr_Bst000287,Bedaganahalli,0,77.70384958,12.75146667
Blr_Bst000286,Naganayakanahalli,0,77.70073291,12.76853333
Blr_Bst000273,Wipro,0,77.65949962,12.83928333
Blr_Bst000264,Guddada Halli,0,77.73689955,12.78818333
Blr_Bst000263,Attibele,0,77.77129953,12.7783
Blr_Bst000262,Yedwanahalli,0,77.75131621,12.78516667
Blr_Bst000261,Guest Line,0,77.74199955,12.78655
Blr_Bst000260,Neraluru (Attibele RD),0,77.72963289,12.79175
Blr_Bst000259,Tirumgondanahalli,0,77.72184957,12.7938
Blr_Bst000258,Hale Chandapura,0,77.71236624,12.80118333
Blr_Bst000256,Hennagara cross,0,77.69924959,12.80635
Blr_Bst000250,AMC College,0,77.58765522,12.82896389
Blr_Bst000245,Begihalli,0,77.60234965,12.79206667
Blr_Bst000244,Hara Gadde,0,77.65236629,12.75778333
Blr_Bst000243,Madapatna,0,77.6422663,12.77006667
Blr_Bst000242,Jigani,0,77.63569963,12.78528333
