"wardNumber","wardName","wardArea","wardPop","roadLength","n","popDensity","normPop","normArea"
1,"Kempegowda Ward",11.385,39368,86,2,3457.88317962231,0.298740589601069,0.427428668873197
2,"Chowdeswari Ward",9.6905,47075,72,7,4857.85047211186,0.840990642369662,0.361755974296765
3,"Attur Layout",5.158,43071,169,5,8350.32958511051,0.559276718497151,0.186092658765532
4,"Yelahanka Satellite Town",4.6012,41986,86,5,9125.01086673042,0.482938155210019,0.164513103533807
5,"Kogilu",17.1931,40396,349,2,2349.54720207525,0.37106873988602,0.65252962925642
6,"Thanisandra",4.4676,47208,235,11,10566.7472468439,0.850348272708084,0.159335250482517
7,"Jakkuru",12.2311,39205,144,11,3205.35356590985,0.287272215577288,0.460220446318531
8,"Gundanjaneya Temple Ward",5.7411,38713,84,1,6743.13284910557,0.252656019137409,0.208691506925766
9,"Amrutahalli",5.3424,39438,130,6,7382.07547169811,0.303665658200239,0.193239336180636
10,"Kodigehalli",2.3989,38620,51,10,16099.0453958064,0.246112713712798,0.0791599165962592
11,"Vidyaranyapura",9.1438,47703,95,1,5216.97762418251,0.885175543516499,0.340567858554697
12,"Dodda Bommasandra",4.8533,42320,144,3,8719.84010879196,0.506437768240343,0.174283588221159
13,"Ramachandrapura",7.2943,40696,40,1,5579.15084380955,0.392176176739605,0.268887924285526
14,"Shettihalli",5.6237,44141,123,4,7849.10290378221,0.634559909941603,0.20414150731333
15,"Chikkasandra",4.7061,39635,29,2,8422.04798028091,0.31752620840076,0.168578648332313
16,"Bagalakunte",2.4558,47846,36,1,19482.8569101718,0.895236755083374,0.0813651549092713
17,"Mallasandra",1.3737,42639,52,1,31039.5282812841,0.528882009427988,0.0394268705769275
18,"T Dasarahalli",1.2372,42614,54,1,34443.9055932751,0.527123056356856,0.0341366240088055
19,"Jalahalli",7.0163,39314,44,1,5603.23817396634,0.294941250967424,0.25811364922371
20,"Brundavana Nagar",1.6406,37855,31,2,23073.8754114348,0.192288749736157,0.0497709497639736
21,"J P Park",2.8676,40404,36,1,14089.8312177431,0.371631604868782,0.0973250342994008
22,"Yeshwanthpura",0.949,46388,51,1,48880.9272918862,0.792654611974952,0.0229670338188217
23,"Mattikere",0.9888,42806,65,2,43290.857605178,0.540631815943151,0.0245095379463767
24,"Radhakrishna Temple Ward",1.9489,35122,119,9,18021.4479963056,0,0.0617195432947578
25,"Sanjaya Nagar",3.1427,36802,341,9,11710.3127883667,0.118201646380075,0.107986915844385
26,"Hebbala",1.4664,40625,144,1,27703.9007092199,0.38718075001759,0.0430195874770368
27,"Vishwanath Nagenahalli",1.3499,46762,101,1,34641.0845247796,0.818968549919088,0.0385044686112037
28,"Govindapura",1.5198,41774,43,1,27486.5113830767,0.468022233166819,0.0450891784421483
29,"Hennur",3.5253,38783,55,4,11001.3332198678,0.257581087736579,0.122815108789173
30,"Chellakere",4.1204,37600,32,2,9125.32763809339,0.17434742841061,0.145879033570781
31,"Horamavu",16.9608,45384,28,2,2675.81717843498,0.722015056638289,0.643526520994334
32,"Kalkere",8.3467,45241,50,1,5420.22595756407,0.711953845071413,0.309675143979971
33,"Banasavadi",2.7772,42488,33,1,15298.86216333,0.518257932878351,0.0938214570850548
34,"Kammanahalli",0.9898,44874,20,3,45336.4316023439,0.686132413987195,0.0245482943314911
35,"Kacharkanahalli",2.2441,39609,57,20,17650.2829642173,0.315696897206783,0.0731604281805427
36,"HBR Layout",1.6879,39441,32,1,23366.905622371,0.303876732568775,0.051604126779887
37,"Kadugondanahalli",0.6952,45748,25,1,65805.5235903337,0.747625413353972,0.0131306632767749
38,"Kushal Nagar",0.7675,46439,74,9,60506.8403908795,0.796242876240062,0.0159327499205494
39,"Kaval Bairasandra",2.391,39709,75,1,16607.695524885,0.322732709491311,0.0788537411538551
40,"Chamundi Nagar",0.8547,49335,282,3,57722.0077220077,1,0.0193123067025292
41,"Ganganagar",0.9791,38747,90,1,39574.0986620366,0.255048195314149,0.0241336010107665
42,"Aramane Nagara",7.6139,39212,36,1,5150.05450557533,0.287764722437205,0.281274464968103
43,"Chokkasandra",2.8918,43122,49,1,14911.8196279134,0.56286498276226,0.0982629388191705
44,"Dodda Bidarakallu",8.1966,41067,52,3,5010.24815167264,0.418279040315204,0.303857810574292
45,"Peenya Industrial Area",5.1529,45188,34,6,8769.43080595393,0.708224864560614,0.185895001201448
46,"Lakshmi Devi Nagar",2.2471,42946,29,1,19111.744025633,0.55048195314149,0.0732766973358861
47,"Nandini Layout",1.3672,46039,28,1,33673.9321240492,0.768099627101949,0.0391749540736836
48,"Marappana Palya",2.0595,45114,21,1,21905.316824472,0.703018363470063,0.0660059994884157
49,"Malleswaram",2.3925,39647,36,1,16571.368861024,0.318370505874903,0.0789118757315268
50,"Jayachamarajendra Nagar",1.5293,35372,64,3,23129.5363891977,0.0175895307113206,0.0454573641007356
51,"Devara Jeevanahalli",0.5703,46673,55,1,81839.3827809925,0.812706676985858,0.00828999077598034
52,"Muneshwara Nagar",0.5135,45638,83,1,88876.3388510224,0.739886019840991,0.00608862810147972
53,"Lingarajapura",1.1297,41639,126,1,36858.4579976985,0.458523886582706,0.0299703126090023
54,"Benniganahalli",4.3793,46528,197,2,10624.5290343206,0.802504749173292,0.155913061676911
55,"Vijnanapura",2.1368,40235,45,6,18829.5582178959,0.359741082107929,0.0690018680577625
56,"Ramamurthy Nagar",2.7416,44446,52,2,16211.7011963817,0.656019137409414,0.0924417297749804
57,"K R Puram",5.4154,38170,67,6,7048.41747608672,0.214451558432421,0.19606855229399
58,"Basavanapura",5.1441,42519,68,8,8265.58581676095,0.520439034686555,0.185553945012441
59,"Devasandra",3.9879,40373,45,1,10123.8747210311,0.369450503060578,0.140743812543116
60,"A Narayanapura",1.915,39786,26,3,20775.9791122715,0.328150284950397,0.060405701839378
61,"C V Raman Nagar",3.0976,44834,26,1,14473.7861570248,0.683318089073384,0.106239002875724
62,"Sarvagna Nagar",4.1986,39857,24,1,9492.92621349974,0.333145711672413,0.148909782886731
63,"Maruthi Seva Nagar",2.2549,41089,34,3,18222.0941061688,0.419826919017801,0.0735789971397788
64,"Sagayapuram",1.3888,40996,24,1,29519.0092165899,0.413283613593189,0.0400120919921557
65,"Pulikeshinagar",2.2562,41983,32,6,18607.8361847354,0.482727080841483,0.0736293804404276
